run,pz,H,L,sigma,C,Cz,n_steps,Lx,Ly,Lz,z_scale,Lz_eff,pbc,N_wall,N_atoms,eps,real_cut,alpha,n_c,dipole_correction,dielectric,kmax_x,kmax_y,kmax_z,kmax_req,nx_req,ny_req,nz_req,real_err_erfc,gauss_left_xy,gauss_left_z,n_kvec,n_kvec_req
pz_27p6/C/ions_dipole_C_pz_27p6_H_3_sigma_-20_C_0_Cz_0.1_20251124_154912,27.6,3,20.0,-20,0,0.1,1000000,20.0,20.0,3.0,4.0,12.0,"[True, True, False]",484,1184,1e-08,1.49,2.8804913104554997,7,True,78.0,2.199114857512855,2.199114857512855,3.665191429188092,14.568542935466091,47,47,28,0.000348485033044814,0.6572247206705777,0.31163748860847174,3374,514424
pz_27p6/Cz/ions_dipole_Cz_pz_27p6_H_3_sigma_-20_C_0.01_Cz_0.1_20251124_154912,27.6,3,20.0,-20,0.01,0.1,1000000,20.0,20.0,3.0,4.0,12.0,"[True, True, False]",484,1198,1e-08,1.49,2.8804913104554997,7,True,78.0,2.199114857512855,2.199114857512855,3.665191429188092,14.568542935466091,47,47,28,0.000348485033044814,0.6572247206705777,0.31163748860847174,3374,514424
pz_27p6/Cz/ions_dipole_Cz_pz_27p6_H_3_sigma_-20_C_0.01_Cz_0.3_20251124_154912,27.6,3,20.0,-20,0.01,0.3,1000000,20.0,20.0,3.0,4.0,12.0,"[True, True, False]",484,1633,1e-08,1.49,2.8804913104554997,7,True,78.0,2.199114857512855,2.199114857512855,3.665191429188092,14.568542935466091,47,47,28,0.000348485033044814,0.6572247206705777,0.31163748860847174,3374,514424
pz_27p6/Cz/ions_dipole_Cz_pz_27p6_H_3_sigma_-20_C_0.01_Cz_0.5_20251124_154912,27.6,3,20.0,-20,0.01,0.5,1000000,20.0,20.0,3.0,4.0,12.0,"[True, True, False]",484,2065,1e-08,1.49,2.8804913104554997,7,True,78.0,2.199114857512855,2.199114857512855,3.665191429188092,14.568542935466091,47,47,28,0.000348485033044814,0.6572247206705777,0.31163748860847174,3374,514424
pz_27p6/Cz/ions_dipole_Cz_pz_27p6_H_3_sigma_-20_C_0.01_Cz_0.7_20251124_154916,27.6,3,20.0,-20,0.01,0.7,1000000,20.0,20.0,3.0,4.0,12.0,"[True, True, False]",484,2500,1e-08,1.49,2.8804913104554997,7,True,78.0,2.199114857512855,2.199114857512855,3.665191429188092,14.568542935466091,47,47,28,0.000348485033044814,0.6572247206705777,0.31163748860847174,3374,514424
pz_27p6/Cz/ions_dipole_Cz_pz_27p6_H_3_sigma_-20_C_0.01_Cz_0_20251124_154912,27.6,3,20.0,-20,0.01,0,1000000,20.0,20.0,3.0,4.0,12.0,"[True, True, False]",484,982,1e-08,1.49,2.8804913104554997,7,True,78.0,2.199114857512855,2.199114857512855,3.665191429188092,14.568542935466091,47,47,28,0.000348485033044814,0.6572247206705777,0.31163748860847174,3374,514424
pz_27p6/H/ions_dipole_H_pz_27p6_H_11_sigma_-20_C_0.01_Cz_0.1_20251124_154912,27.6,11,20.0,-20,0.01,0.1,1000000,20.0,20.0,11.0,4.0,44.0,"[True, True, False]",484,1815,1e-08,1.49,2.8804913104554997,7,True,78.0,2.199114857512855,2.199114857512855,0.9995976625058433,14.568542935466091,47,47,103,0.000348485033044814,0.6572247206705777,0.9169329527311536,3374,1868174
pz_27p6/H/ions_dipole_H_pz_27p6_H_3_sigma_-20_C_0.01_Cz_0.1_20251124_154912,27.6,3,20.0,-20,0.01,0.1,1000000,20.0,20.0,3.0,4.0,12.0,"[True, True, False]",484,1198,1e-08,1.49,2.8804913104554997,7,True,78.0,2.199114857512855,2.199114857512855,3.665191429188092,14.568542935466091,47,47,28,0.000348485033044814,0.6572247206705777,0.31163748860847174,3374,514424
pz_27p6/H/ions_dipole_H_pz_27p6_H_5_sigma_-20_C_0.01_Cz_0.1_20251124_154912,27.6,5,20.0,-20,0.01,0.1,1000000,20.0,20.0,5.0,4.0,20.0,"[True, True, False]",484,1352,1e-08,1.49,2.8804913104554997,7,True,78.0,2.199114857512855,2.199114857512855,2.199114857512855,14.568542935466091,47,47,47,0.000348485033044814,0.6572247206705777,0.6572247206705777,3374,857374
pz_27p6/H/ions_dipole_H_pz_27p6_H_7_sigma_-20_C_0.01_Cz_0.1_20251124_154912,27.6,7,20.0,-20,0.01,0.1,1000000,20.0,20.0,7.0,4.0,28.0,"[True, True, False]",484,1509,1e-08,1.49,2.8804913104554997,7,True,78.0,2.199114857512855,2.199114857512855,1.5707963267948966,14.568542935466091,47,47,65,0.000348485033044814,0.6572247206705777,0.8072292364494927,3374,1182274
pz_27p6/H/ions_dipole_H_pz_27p6_H_9_sigma_-20_C_0.01_Cz_0.1_20251124_154912,27.6,9,20.0,-20,0.01,0.1,1000000,20.0,20.0,9.0,4.0,36.0,"[True, True, False]",484,1663,1e-08,1.49,2.8804913104554997,7,True,78.0,2.199114857512855,2.199114857512855,1.2217304763960306,14.568542935466091,47,47,84,0.000348485033044814,0.6572247206705777,0.878494112118746,3374,1525224
pz_27p6/sigma/ions_dipole_sigma_pz_27p6_H_3_sigma_-10_C_0.01_Cz_0.1_20251124_154912,27.6,3,20.0,-10,0.01,0.1,1000000,20.0,20.0,3.0,4.0,12.0,"[True, True, False]",256,742,1e-08,1.49,2.8804913104554997,7,True,78.0,2.199114857512855,2.199114857512855,3.665191429188092,14.568542935466091,47,47,28,0.000348485033044814,0.6572247206705777,0.31163748860847174,3374,514424
pz_27p6/sigma/ions_dipole_sigma_pz_27p6_H_3_sigma_-15_C_0.01_Cz_0.1_20251124_154912,27.6,3,20.0,-15,0.01,0.1,1000000,20.0,20.0,3.0,4.0,12.0,"[True, True, False]",361,952,1e-08,1.49,2.8804913104554997,7,True,78.0,2.199114857512855,2.199114857512855,3.665191429188092,14.568542935466091,47,47,28,0.000348485033044814,0.6572247206705777,0.31163748860847174,3374,514424
pz_27p6/sigma/ions_dipole_sigma_pz_27p6_H_3_sigma_-20_C_0.01_Cz_0.1_20251124_154912,27.6,3,20.0,-20,0.01,0.1,1000000,20.0,20.0,3.0,4.0,12.0,"[True, True, False]",484,1198,1e-08,1.49,2.8804913104554997,7,True,78.0,2.199114857512855,2.199114857512855,3.665191429188092,14.568542935466091,47,47,28,0.000348485033044814,0.6572247206705777,0.31163748860847174,3374,514424
pz_27p6/sigma/ions_dipole_sigma_pz_27p6_H_3_sigma_-25_C_0.01_Cz_0.1_20251124_154912,27.6,3,20.0,-25,0.01,0.1,1000000,20.0,20.0,3.0,4.0,12.0,"[True, True, False]",625,1480,1e-08,1.49,2.8804913104554997,7,True,78.0,2.199114857512855,2.199114857512855,3.665191429188092,14.568542935466091,47,47,28,0.000348485033044814,0.6572247206705777,0.31163748860847174,3374,514424
pz_27p6/sigma/ions_dipole_sigma_pz_27p6_H_3_sigma_-30_C_0.01_Cz_0.1_20251124_154912,27.6,3,20.0,-30,0.01,0.1,1000000,20.0,20.0,3.0,4.0,12.0,"[True, True, False]",729,1688,1e-08,1.49,2.8804913104554997,7,True,78.0,2.199114857512855,2.199114857512855,3.665191429188092,14.568542935466091,47,47,28,0.000348485033044814,0.6572247206705777,0.31163748860847174,3374,514424
pz_27p6/sigma/ions_dipole_sigma_pz_27p6_H_3_sigma_-5_C_0.01_Cz_0.1_20251124_154912,27.6,3,20.0,-5,0.01,0.1,1000000,20.0,20.0,3.0,4.0,12.0,"[True, True, False]",121,472,1e-08,1.49,2.8804913104554997,7,True,78.0,2.199114857512855,2.199114857512855,3.665191429188092,14.568542935466091,47,47,28,0.000348485033044814,0.6572247206705777,0.31163748860847174,3374,514424
pz_27p6/sigma/ions_dipole_sigma_pz_27p6_H_3_sigma_0_C_0.01_Cz_0.1_20251124_154912,27.6,3,20.0,0,0.01,0.1,1000000,20.0,20.0,3.0,4.0,12.0,"[True, True, False]",0,230,1e-08,1.49,2.8804913104554997,7,True,78.0,2.199114857512855,2.199114857512855,3.665191429188092,14.568542935466091,47,47,28,0.000348485033044814,0.6572247206705777,0.31163748860847174,3374,514424
